"id" "csd_mean_n" "csd_mean_e" "csd_mean_o" "csd_mean_a" "csd_mean_c" "per_csd0" "csd_state_selfesteem_0" "per_csd1" "csd_state_selfesteem_1"
"A01E05R" 0.0593127487214503 -0.0764708993270531 -0.0486156871581437 -0.0175222160332665 0.0862666629976287 -0.123865907118515 -0.0345757878197468 -0.0518165937999369 -0.0251302441482218
"A03A01R" -0.00551181678117513 0.130728692249407 0.0165379816907569 0.0663809104145123 -0.0818670861728092 -0.00889307541141732 -0.0361026887249237 0.144518816236909 0.114289746672215
"A03E08N" -0.00262232229981922 0.095884303040068 0.160490274990867 0.0985638017377519 0.23744157040893 0.31841076477756 0.288437175247699 0.270509776038341 0.120423731287844
"A03S03D" 0.226965718959675 0.220023738870405 0.0780481003832755 0.269217297595547 0.286858734755015 0.191919996059562 0.0948794132381038 0.154851217198927 0.144467378898966
"A04A04I" -0.119526385549024 -0.126273845314637 -0.052047054099231 -0.0144187670958641 -0.00567417230845288 0.00975218640592106 -0.106442213500351 -0.00426286949436571 -0.0958585376546031
"A05A04H" -0.148700585688605 -0.0904675564910916 -0.211359141237323 -0.152099139573829 -0.141367747951762 -0.328831146674796 -0.194934084002208 -0.283753573121337 -0.212207384731602
"A06Y07K" 0.153736845658253 -0.0344052283542067 0.311453351629004 0.0768521936336177 0.115232269709703 0.30766603131457 0.760107740833424 0.198210518587794 0.291184277385913
"A10A06N" 0.140700856834502 0.00708533724253307 -0.0597153339917413 -0.00480702584789848 0.199506293740843 -0.0181134956903368 -0.198918373262356 -0.0865031612122724 -0.100789007628372
"A10A08D" -0.0165580261955021 0.075884791229291 -0.189892156727829 0.0709930235731124 0.000676123317657015 0.143354511203654 0.135379713669983 0.132541334353945 0.248826803184137
"A12H06R" -0.0633173461258089 -0.0361272150556279 -0.106310817332591 -0.0638747181100516 -0.152579140815739 -0.113767000474014 0.0820480069151374 -0.159380398851894 -0.284634670638983
"B01A01R" -0.113236270092363 -0.0800633445386343 -0.0322619663010159 -0.00434901836631563 -0.109597093896823 -0.246364949445393 -0.117478633424503 -0.136160607066569 0.12795499642974
"B01A01S" -0.118731499490666 -0.0795868849497171 -0.0718482993245415 -0.0313448366331868 -0.112677575438083 -0.0958579625417157 -0.048962220217148 -0.166405927944879 -0.258335407170657
"B08G08R" -0.0297866738042166 0.0186556575830204 -0.221229518419707 -0.0903045060262751 -0.131848247244073 -0.213168767494635 -0.280927424110136 -0.28550441947019 -0.260195607845982
"B10N09R" 0.138675785924839 -0.0425420176235027 0.0986788691140704 -0.0506755091965459 0.0222738995171067 0.0536847302369489 -0.0985864082144693 0.128272352084063 0.223709650846488
"C03A09R" -0.138020347392975 -0.0989824373616369 -0.111892085996859 -0.188473704689809 -0.163092472450688 -0.214155903094078 -0.158766914598505 -0.164866681321612 -0.0427530698462426
"C05E02D" -0.163493555812588 -0.0640388632215604 -0.151745407228572 -0.109307835624865 0.00725554748533124 -0.144143677254203 -0.139427993021398 -0.127605761244492 -0.153422270964028
"C05N12H" -0.0470509710947706 0.039454493076013 -0.0497515694074333 -0.0860555123619118 -0.0348794461635176 -0.0697277613879856 -0.188100439313253 -0.0218546582772565 0.0366004633905997
