"id" "age_t1" "sex_t1" "no_daily" "csd_state_nervous" "csd_state_relaxed" "csd_state_irritable" "csd_state_assertive" "csd_state_unsociable" "csd_state_shy" "csd_state_sociable" "csd_state_curious" "csd_state_creative" "csd_state_witty" "csd_state_hostile" "csd_state_compliant" "csd_state_sensitive" "csd_state_friendly" "csd_state_cynical" "csd_state_helpful" "csd_state_diligent" "csd_state_organised" "csd_state_negligent" "csd_state_selfesteem" "csd_nob" "csd_sim1" "csd_sim2" "csd_sim3" "csd_sim4" "csd_sim5" "csd_sim6" "csd_sim7" "csd_sim8" "csd_sim9" "csd_sim10" "rses" "swls" "pa" "na" "sccs"
"1" "A01E05R" 22 1 79 -0.0786254641085723 -0.0594682593381734 -0.0906561063221937 -0.180976268319191 -0.0637962902392294 -0.314063025711783 -0.0424096588989078 -0.0734892072673137 -0.177121940943629 -0.0896343061101533 -0.120315245011355 -0.1323641052191 -0.161400953254227 -0.0724110662389176 -0.206166395869898 -0.0902342239473228 -0.0995783819836259 0.0723699296083258 -0.0435443209630689 -0.0455021552448389 -0.104959033514559 0.497883058418117 0.124050937474184 0.272840174153826 0.49313162058607 -0.454209194061307 -0.239253228103329 0.0831664423544337 0.0376135146776347 0.448215413538409 0.284172689936335 3.5 5 5 3 2.91666666666667
"2" "A03A01R" 20 1 81 0.035236308369954 0.00167794824360339 0.100796106017555 0.255044831964462 -0.0642306889847172 0.257308083497225 -0.0586280306381389 0.188780746660089 0.13712210065673 -0.0106295085974026 0.0368445627448973 0.119027893301774 0.113043653251796 0.110530282438614 0.0645225022217918 0.28187239091552 -0.140913159015693 0.012420104657691 -0.00689545855502698 0.0411517351998056 0.130396955620539 -0.0170635309157958 0.0279220298148287 0.336821440487008 -0.152206641950816 0.296188825842319 0.760746771896659 0.401717235393721 0.605735203440846 0.498257517358846 0.570846507213775 3.3 6.4 4 2 2.41666666666667
"3" "A03E08N" 21 1 81 0.0169937523310428 0.174440040300625 0.0534373335558664 0.325256922777762 0.542835948781435 0.313096809248954 0.542593356666312 0.530619081568152 0.0199428128193094 0.326341759148128 0.136635403325617 0.423187516421442 0.210484546014171 0.148275902465127 0.0277860410416264 0.348046913202778 0.408600448788223 0.702389965611071 0.500861535556189 0.23033061651544 0.360855705651913 1.02575940454606 0.583742015117619 0.334720301530837 0.959178541450122 0.748299776771251 0.453506614455306 0.998020657867104 0.325076648675434 0.980028770295086 0.574433609763595 2.8 5 4.8 3 2.66666666666667
"4" "A03S03D" 28 0 81 0.191097935045027 0.0926233302503035 0.1955336636828 0.115337606577248 0.0612919972498623 0.281930349706682 -0.127600155538875 -0.0605299093765065 0.19956711434922 0.341662568439989 0.271002242917438 0.411919834177214 0.0726003089222918 0.212425011028442 0.190107606893836 0.0802326088256908 0.301579311782314 0.3971905209893 0.288944246556945 0.128458932658749 -0.268094516361377 0.180459942925315 -0.418521954769489 -0.767304264565482 -0.379501149368253 0.516898013643784 0.174975350141087 0.00939168708153603 0.122075985032905 -0.0326769544899871 0.570846507213773 3 4.8 3.2 2.5 3.16666666666667
"5" "A04A04I" 25 1 79 0.192025958734485 0.0601774153510723 -0.319650987900477 -0.207634278641939 0.0986205769158233 -0.0881308175349281 -0.0441719959653875 0.14771374157613 -0.155417348903409 -0.0301812491925958 -0.0974867173431123 0.28801655259787 0.100320186277734 -0.16470598325951 -0.269714804610929 0.0140369966706104 0.304414045559644 0.115076517079587 -0.0314184688025834 -0.0117389400486444 0.0614627847061944 0.419218398217109 -0.0401177516592466 0.0314842444710003 -0.433205310220708 -0.078283335554645 0.124435027238497 -0.339483288455946 0.391341199826558 -0.0664903908935021 -0.0728592205622264 3.4 5.2 4.8 2 2.75
"6" "A05A04H" 20 1 62 -0.396638812919417 -0.345731165837903 -0.231668134171785 -0.291211212215067 -0.373256723189659 -0.235618906496723 -0.406445449507889 -0.205081784009839 -0.379751675936181 -0.355820091581297 -0.454264228143843 -0.169634563435692 -0.264062839542223 -0.225151610707593 -0.390223517392655 -0.351746128996756 -0.380696741890201 -0.198295876070769 -0.286548854554595 -0.223084431272122 -0.137765826051254 -0.331179621686486 -1.38256593546691 -1.79425761387955 -1.03307926542233 -1.37762937461262 -0.282451757615251 -0.455843981183426 -1.70366587331765 -1.0407288630558 -0.53327919783872 3.1 4.2 4.2 2.5 3.08333333333333
"7" "A06Y07K" 18 1 81 0.25811053852006 0.216181794034511 0.225397237810905 0.120059177064724 0.248987883477634 0.123375357133618 0.309778117835763 0.113508934069383 0.23609023826575 0.348718763776788 0.149900326594859 0.237664127762507 0.437257477592471 0.343825618805634 0.227826320896544 0.253481423362456 0.200965483065191 0.255704306409213 0.341682661484222 0.500063092397933 0.190985592102233 0.153511864472055 0.685603750283003 0.515143462878949 -0.216582684494606 0.334094605699985 0.462638984690023 1.1057088316254 0.384698288206192 0.0651745547824083 0.570846507213773 4 7 5.4 1.5 1.41666666666667
"8" "A10A06N" 23 1 81 0.1428441763194 -0.221910090200468 0.189802799986938 -0.146104931683574 -0.227056995234816 0.0206093469745842 -0.219763904247669 -0.112690231940506 -0.0916408012194478 -0.0715262013514262 0.0598936024120069 -0.281238747182434 0.0462637656634296 -0.0384196982905904 0.00881617544791216 0.00147825739747615 -0.00941107556555707 0.164331598069794 -0.178876930266559 -0.159024380400283 -0.262777526721917 -0.462215828728855 -0.0595813081665052 0.352096257819601 -0.343420857143697 -0.314448031948224 -0.132295621699719 -0.0194966792591351 0.251405262776223 0.0532205765107246 -0.215213066790019 2.2 5 4 5 2.41666666666667
"9" "A10A08D" 21 1 81 0.155146719382389 0.439015607485846 0.158972587766967 -0.0779212761651758 0.391025211564358 -0.107179960797031 0.326272839156853 -0.0870740967810891 -0.1920979275426 -0.224284556554188 0.40466799235601 -0.0292132803856444 0.161382317556992 0.553939145806746 0.503048401454742 -0.123793897159127 -0.0844919785065976 -0.0154290739280896 0.431424593839169 0.157833376916762 0.117334351399491 0.419218398217109 0.251944650925418 0.33682144048701 -0.379501149368253 -0.397956201868892 0.0308568836449304 0.302461758028366 0.391341199826558 -0.0943574787052061 0.0630224503466715 2.7 3.4 3.6 4 3.5
"10" "A12H06R" 21 1 82 -0.123765115939015 -0.265799604454696 -0.0923255989262221 -0.0346705302210685 0.0245752782556971 -0.105363409769271 -0.126259686511058 -0.287106808689357 -0.137866944331664 -0.226337920379085 -0.102697852639757 0.0451137558847989 -0.162576060246864 -0.114194740417877 -0.0447474292588629 -0.205638353190364 -0.336981294680766 -0.218181250635673 -0.201620409276177 -0.00243027453259359 0.156478792134453 0.074408110202599 0.287435053808679 0.151916893587041 -0.0768812243314667 0.556380373833655 0.0380379682146749 0.00158312657291249 0.605735203440854 0.0651745547824083 0.338669075415232 3.5 5.6 3.6 2.5 1.66666666666667
"11" "B01A01R" 20 1 76 -0.384221684108915 -0.278849364697902 -0.174971176509111 -0.102882714128887 -0.229481053226316 -0.21375089944251 -0.203051398501899 -0.13153341434137 -0.175520745081339 -0.224956395215563 -0.211160242186544 -0.188746938499603 -0.239368190366315 -0.0887582691146161 -0.269826114781204 -0.192471567397535 -0.133502487169451 -0.132621257181802 -0.140936857899712 0.117689481648761 -0.105022536966681 0.086354762440665 0.287435053808679 -0.28913946524603 0.0443243259374441 0.124440009994379 -0.192033026889055 0.00158312657291249 0.122075985032905 -0.357475176027966 -0.239974843466234 2.7 3.8 4.4 3 3.16666666666667
"12" "B01A01S" 20 1 82 -0.192113067909969 -0.273953830000901 -0.116551693186152 -0.119158887145984 -0.0477708273545552 -0.128150960843543 -0.0727776636291765 -0.200829527505452 -0.0279057005321308 -0.206438066202147 -0.0462133431913499 -0.149745842222792 -0.0336468661889111 -0.210973809452139 0.0455353766143431 -0.139045124782426 -0.232755321226279 -0.259890806638661 -0.208188662987452 -0.153366799446765 -0.0775382857007919 -0.154370519447239 -0.0926570800064989 -0.0583934621781241 -0.46182100738992 -0.570793739100338 0.218173879652998 -0.323866167438699 -0.465079157404017 0.113971675323454 -0.156883668896731 2.7 4 3.2 5.5 4.75
"13" "B08G08R" 22 1 80 -0.195052221626519 -0.333484118817961 -0.128830251405514 -0.28704618421032 -0.155714219860447 -0.0973121751227495 -0.373019312534339 -0.322869614154585 -0.218851451510664 -0.253474506513535 -0.25528249329489 -0.291897742119076 -0.231185750457138 -0.283677626335177 -0.293420363461182 -0.281250709756635 -0.278036806570897 -0.282204852008404 -0.241346173450003 -0.301930647652531 -0.0960773910284123 0.074408110202599 0.0102503901372097 0.151916893587041 -0.379501149368253 0.296188825842314 -0.282451757615251 0.188455936186082 0.384698288206192 -0.0943574787052061 -0.33237224455607 3.4 5.6 4.6 4.5 3
"14" "B10N09R" 22 0 82 0.0252791798366118 -0.0165982504394036 0.146774746310696 0.0662958237956419 0.0608485908732209 0.102330065529947 0.00456967267934162 0.103599744463771 0.0588678301634744 -0.0135116938022064 0.0701991057773972 0.145592442179404 0.18925841282851 0.19551384916296 0.204492036041414 0.121751572156552 -0.0701375875744033 0.0475114037895188 -0.0198153562445859 0.0540522197478042 0.0614627847061944 -0.0760368107902327 0.251944650925418 -0.288712638655036 0.378804589843539 -0.166554438741427 0.519052511108452 -0.966244602193169 0.122075985032905 0.706082645018786 0.0630224503466715 3.2 4 3.8 3 2.41666666666667
"15" "C03A09R" 20 1 74 -0.0451047991743965 -0.19656879854131 -0.0807024832050643 -0.138006029049522 -0.120777031266268 -0.156841158735933 -0.259255192979678 -0.348853269244881 -0.178035807483226 -0.115953547643913 -0.0586475253539521 -0.224177455006253 -0.209310341675505 -0.272609417934627 -0.0379825439771481 -0.307912677448166 -0.330685361618698 -0.311243831517465 -0.237682300350663 -0.131944640579797 0.0685523128335243 -0.15774401452621 0.287435053808679 0.33682144048701 -0.0494412716575776 0.0365841877604781 0.0518831081857269 0.374160891090234 0.605735203440854 -0.501742482641147 -0.0494261570132729 3.8 6.4 4.6 3 2.83333333333333
"16" "C05E02D" 22 1 82 -0.315289938773535 -0.256010677754334 -0.192033417856795 0.0688045490885184 -0.0610576144346841 -0.462860826179368 -0.236809648593651 -0.256035374326775 0.211296436629731 -0.176827302267037 -0.163661530152074 -0.240174303299492 -0.0997467528840192 -0.157010832024139 -0.0700842001953151 -0.0716287596503483 0.0185369276334251 -0.179765212623757 -0.335201135811402 -0.183597116768797 -0.0397954892776639 0.165657449997976 -0.56606935453918 -0.977761032951827 -0.534308332087805 -0.153330562605828 -0.192033026889055 -0.752983302985531 -0.170211612982272 -0.551784586461544 -0.47955044189699 3.8 6.2 5 2 2.25
"17" "C05N12H" 25 0 73 -0.158651480224914 -0.152436694417106 0.0209156362274625 0.0628578277098187 0.0273577208666353 -0.106810007166381 0.0133648663824711 -0.051047488434257 -0.0835834626796605 0.0407887443748365 0.072643294293161 -0.136655030596706 0.110017801631803 -0.0714238744079539 0.0371595820510526 0.0189694310535536 -0.103164903974147 -0.103143944551713 -0.29872225845028 -0.0536488280439474 0.101312249729906 0.515464469035671 0.230435140025002 0.139534761140399 0.280438869325471 -0.106961753133087 0.453506614455305 0.374160891090234 0.142273240731637 0.509895937753675 -0.0494261570132729 3.3 4 4.4 3.5 1.75
"18" "C06A05R" 22 1 69 0.255135086497483 0.083293003842912 -0.164900183581681 -0.123767338791743 0.00672811197674348 0.224718588702012 0.149315578389066 0.819134786447342 0.146832555023111 0.102649200267354 0.0512796006317129 0.19461487384787 0.0056057870801032 0.345743921496771 0.202170934684301 0.242299213892352 0.272871193027135 0.34564305076601 0.0837015661975296 -0.0858567634616817 0.0914428012962025 -0.331179621686486 0.287435053808679 0.151916893587041 -0.379501149368253 -0.338508312497548 0.0518831081857269 -0.349213331579607 -0.289452310944554 -0.339977750785133 -0.239974843466234 1.5 1.6 2.6 5.5 3.91666666666667
"19" "C09P03S" 20 0 80 -0.203978307848438 -0.115696771492564 -0.126064890202385 -0.119351284448166 -0.327311712567711 -0.174617655373866 -0.253893753404667 -0.0922109208022532 -0.279185198654643 -0.192892186358939 -0.179962494125825 -0.107703621261138 -0.198672999676219 -0.159127269169606 -0.0347118327894218 -0.0421537635918344 -0.172886039575503 -0.139731682782333 -0.0428327515453543 -0.0041427609243645 0.272078452938648 -0.331179621686486 0.443175922883647 0.206757768864407 -0.37832540487293 0.0365841877604781 -0.282451757615251 0.188455936186082 -0.170211612982272 0.448215413538456 -0.0494261570132729 3.5 6 4.6 3 2.58333333333333
